Genotype_Micro,Genotype,known_geno,Treatment,Tank,number_Samples,Final_State,R_final_state,Final_fraction_Disease,Days_to_disease_signs,days_from_initial_to_final,General_Notes,Extra_notes,extra2_notes,extra3_notes,Experiment,sample,tube_number,box,ID_Micro,SampleLocation,Disease_Exposed,Disease_Outcome,Disease_Prevalence,Sample_Uniq_ID,Exp_1,Exp_2,Exp_3,Exp_4,Sampled,timepoint,sample_date,Date_initial,Date_final,Date_exp_started,Real_timepoint,R_TP,R_treat,Order_TP
15-155,15_155,Y,D,17,3,Diseased,Diseased,0.15,3,1,NA,NA,NA,NA,1,28-1_1/9/2022,28,1,17 _ 1 _ 15-155,T_28_Exp_1_Box_1,1,1,1,T_28_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/17/22,1/18/22,1/14/22,Pre_Exposure,PE,C,1
OF8,OF8,Y,D,21,3,Diseased,Diseased,0.3,NA,NA,NA,NA,NA,NA,1,33-1_1/9/2022,33,1,21 _ 1 _ OF8,T_33_Exp_1_Box_1,1,1,1,T_33_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/17/22,1/18/22,1/14/22,Pre_Exposure,PE,C,1
OF453,OF453,Y,D,28,3,Diseased,Diseased,0.5,3,1,NA,NA,NA,NA,1,43-1_1/9/2022,43,1,28 _ 1 _ OF453,T_43_Exp_1_Box_1,1,1,1,T_43_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/17/22,1/18/22,1/14/22,Pre_Exposure,PE,C,1
OF132,OF132,Y,D,37,3,Diseased,Diseased,0.8,3,1,NA,NA,NA,NA,1,61-1_1/9/2022,61,1,37 _ 1 _ OF132,T_61_Exp_1_Box_1,1,1,0.666666667,T_61_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/17/22,1/18/22,1/14/22,Pre_Exposure,PE,C,1
OF693,OF693,Y,D,43,3,Diseased,Diseased,0.75,3,1,NA,NA,NA,NA,1,67-1_1/9/2022,67,1,43 _ 1 _ OF693,T_67_Exp_1_Box_1,1,1,1,T_67_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/17/22,1/18/22,1/14/22,Pre_Exposure,PE,C,1
S373,S373,Y,D,4,3,Diseased,Diseased,0.8,3,1,NA,NA,NA,NA,1,7-1_1/9/2022,7,1,4 _ 1 _ S373,T_7_Exp_1_Box_1,1,1,1,T_7_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/17/22,1/18/22,1/14/22,Pre_Exposure,PE,C,1
OF696,OF696,Y,D,4,4,Diseased,Diseased,0.4,3,2,NA,NA,NA,NA,1,8-1_1/9/2022,8,1,4 _ 1 _ OF696,T_8_Exp_1_Box_1,1,1,1,T_8_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/17/22,1/19/22,1/14/22,Pre_Exposure,PE,C,1
OF793,OF793,Y,D,22,4,Diseased,Diseased,0.25,4,5,NA,NA,NA,NA,1,35-1_1/9/2022,35,1,22 _ 1 _ OF793,T_35_Exp_1_Box_1,1,1,1,T_35_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/18/22,1/23/22,1/14/22,Pre_Exposure,PE,C,1
S227,S227,Y,D,5,4,Diseased,Diseased,0.9,4,1,NA,NA,NA,NA,1,9-1_1/9/2022,9,1,5 _ 1 _ S227,T_9_Exp_1_Box_1,1,1,1,T_9_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/18/22,1/19/22,1/14/22,Pre_Exposure,PE,C,1
OF655,OF655,Y,D,39,4,Diseased,Diseased,0.3,5,3,NA,NA,NA,NA,1,66-1_1/9/2022,66,1,39 _ 1 _ OF655,T_66_Exp_1_Box_1,1,1,1,T_66_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/19/22,1/22/22,1/14/22,Pre_Exposure,PE,C,1
OF434,OF434,Y,D,48,4,Diseased,Diseased,0.1,5,3,NA,NA,NA,NA,1,74-1_1/9/2022,74,1,48 _ 1 _ OF434,T_74_Exp_1_Box_1,1,1,1,T_74_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/19/22,1/22/22,1/14/22,Pre_Exposure,PE,C,1
S483,S483,Y,D,48,4,Diseased,Diseased,0.1,5,6,NA,NA,NA,NA,1,75-1_1/9/2022,75,1,48 _ 1 _ S483,T_75_Exp_1_Box_1,1,1,1,T_75_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/19/22,1/25/22,1/14/22,Pre_Exposure,PE,C,1
15-431,15_431,Y,D,27,4,Diseased,Diseased,0.3,6,3,NA,NA,NA,NA,1,42-1_1/9/2022,42,1,27 _ 1 _ 15-431,T_42_Exp_1_Box_1,1,1,1,T_42_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/20/22,1/23/22,1/14/22,Pre_Exposure,PE,C,1
15-350,15_350,Y,D,10,4,Diseased,Diseased,0.2,8,2,NA,NA,NA,NA,1,15-1_1/9/2022,15,1,10 _ 1 _ 15-350,T_15_Exp_1_Box_1,1,1,1,T_15_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/22/22,1/24/22,1/14/22,Pre_Exposure,PE,C,1
OF393,OF393,Y,D,30,4,Diseased,Diseased,0.3,8,1,NA,NA,NA,NA,1,50-1_1/9/2022,50,1,30 _ 1 _ OF393,T_50_Exp_1_Box_1,1,1,0.333333333,T_50_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/22/22,1/23/22,1/14/22,Pre_Exposure,PE,C,1
OF125,OF125,Y,D,33,4,Diseased,Diseased,0.5,8,1,NA,NA,NA,NA,1,53-1_1/9/2022,53,1,33 _ 1 _ OF125,T_53_Exp_1_Box_1,1,1,1,T_53_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/22/22,1/23/22,1/14/22,Pre_Exposure,PE,C,1
OF680,OF680,Y,D,3,4,Diseased,Diseased,0.3,8,1,NA,NA,NA,NA,1,6-1_1/9/2022,6,1,3 _ 1 _ OF680,T_6_Exp_1_Box_1,1,1,1,T_6_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/22/22,1/23/22,1/14/22,Pre_Exposure,PE,C,1
OF263,OF263,Y,D,14,4,Diseased,Diseased,0.3,9,1,NA,NA,NA,NA,1,24-1_1/9/2022,24,1,14 _ 1 _ OF263,T_24_Exp_1_Box_1,1,1,1,T_24_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/23/22,1/24/22,1/14/22,Pre_Exposure,PE,C,1
F7,F7,Y,D,35,4,Diseased,Diseased,0.5,9,1,NA,NA,NA,NA,1,58-1_1/9/2022,58,1,35 _ 1 _ F7,T_58_Exp_1_Box_1,1,1,1,T_58_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,1/23/22,1/24/22,1/14/22,Pre_Exposure,PE,C,1
OF687,OF687,Y,D,5,3,Diseased,Diseased,0.15,8,0,NA,NA,NA,NA,1,10-1_1/9/2022,10,1,5 _ 1 _ OF687,T_10_Exp_1_Box_1,1,1,1,T_10_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/22/22,1/14/22,Pre_Exposure,PE,C,1
S331,S331,Y,D,7,3,Diseased,Diseased,0.4,8,0,NA,NA,NA,NA,1,13-1_1/9/2022,13,1,7 _ 1 _ S331,T_13_Exp_1_Box_1,1,1,1,T_13_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/22/22,1/14/22,Pre_Exposure,PE,C,1
S509,S509,Y,D,10,3,Diseased,Diseased,0.1,13,0,NA,NA,NA,NA,1,16-1_1/9/2022,16,1,10 _ 1 _ S509,T_16_Exp_1_Box_1,1,1,1,T_16_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/27/22,1/14/22,Pre_Exposure,PE,C,1
OF679,OF679,Y,D,11,3,Diseased,Diseased,0.1,5,0,NA,NA,NA,NA,1,17-1_1/9/2022,17,1,11 _ 1 _ OF679,T_17_Exp_1_Box_1,1,1,1,T_17_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/19/22,1/14/22,Pre_Exposure,PE,C,1
OF685,OF685,Y,D,11,3,Diseased,Diseased,0.4,5,0,NA,NA,NA,NA,1,18-1_1/9/2022,18,1,11 _ 1 _ OF685,T_18_Exp_1_Box_1,1,1,1,T_18_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/19/22,1/14/22,Pre_Exposure,PE,C,1
OF677,OF677,Y,D,1,3,Diseased,Diseased,0.9,4,0,NA,NA,NA,NA,1,2-1_1/9/2022,2,1,1 _ 1 _ OF677,T_2_Exp_1_Box_1,1,1,1,T_2_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/18/22,1/14/22,Pre_Exposure,PE,C,1
OF628,OF628,Y,D,18,2,Diseased,Diseased,0.9,3,0,NA,NA,NA,NA,1,29-1_1/9/2022,29,1,18 _ 1 _ OF628,T_29_Exp_1_Box_1,1,1,1,T_29_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/17/22,1/14/22,Pre_Exposure,PE,C,1
OF23,OF23,Y,D,2,3,Diseased,Diseased,0.05,7,0,NA,NA,NA,NA,1,3-1_1/9/2022,3,1,2 _ 1 _ OF23,T_3_Exp_1_Box_1,1,1,1,T_3_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/21/22,1/14/22,Pre_Exposure,PE,C,1
15-111,15_111,Y,D,23,3,Diseased,Diseased,0.2,4,0,NA,NA,NA,NA,1,36-1_1/9/2022,36,1,23 _ 1 _ 15-111,T_36_Exp_1_Box_1,1,1,1,T_36_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/18/22,1/14/22,Pre_Exposure,PE,C,1
OF75,OF75,Y,D,24,3,Diseased,Diseased,0.3,13,0,NA,NA,NA,NA,1,37-1_1/9/2022,37,1,24 _ 1 _ OF75,T_37_Exp_1_Box_1,1,1,1,T_37_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/27/22,1/14/22,Pre_Exposure,PE,C,1
OF656,OF656,Y,D,24,3,Diseased,Diseased,0.1,11,0,NA,NA,NA,NA,1,38-1_1/9/2022,38,1,24 _ 1 _ OF656,T_38_Exp_1_Box_1,1,1,1,T_38_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/25/22,1/14/22,Pre_Exposure,PE,C,1
15-10,15_10,Y,D,26,3,Diseased,Diseased,0.6,6,0,NA,NA,NA,NA,1,39-1_1/9/2022,39,1,26 _ 1 _ 15-10,T_39_Exp_1_Box_1,1,1,1,T_39_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/20/22,1/14/22,Pre_Exposure,PE,C,1
OF733,OF733,Y,D,2,3,Diseased,Diseased,0.1,8,0,NA,NA,NA,NA,1,4-1_1/9/2022,4,1,2 _ 1 _ OF733,T_4_Exp_1_Box_1,1,1,1,T_4_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/22/22,1/14/22,Pre_Exposure,PE,C,1
S335,S335,Y,D,26,3,Diseased,Diseased,0.2,7,0,NA,NA,NA,NA,1,40-1_1/9/2022,40,1,26 _ 1 _ S335,T_40_Exp_1_Box_1,1,1,1,T_40_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/21/22,1/14/22,Pre_Exposure,PE,C,1
15-71,15_71,Y,D,27,3,Diseased,Diseased,0.4,10,0,NA,NA,NA,NA,1,41-1_1/9/2022,41,1,27 _ 1 _ 15-71,T_41_Exp_1_Box_1,1,1,1,T_41_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/24/22,1/14/22,Pre_Exposure,PE,C,1
15-358,15_358,Y,D,30,3,Diseased,Diseased,0.1,6,0,NA,NA,NA,NA,1,48-1_1/9/2022,48,1,30 _ 1 _ 15-358,T_48_Exp_1_Box_1,1,1,1,T_48_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/20/22,1/14/22,Pre_Exposure,PE,C,1
OF602,OF602,Y,D,23,3,Diseased,Diseased,0.3,5,0,NA,NA,NA,NA,1,49-1_1/9/2022,49,1,23 _ 1 _ OF602,T_49_Exp_1_Box_1,1,1,1,T_49_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/19/22,1/14/22,Pre_Exposure,PE,C,1
OF211,OF211,Y,D,3,3,Diseased,Diseased,0.25,11,0,NA,NA,NA,NA,1,5-1_1/9/2022,5,1,3 _ 1 _ OF211,T_5_Exp_1_Box_1,1,1,1,T_5_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/25/22,1/14/22,Pre_Exposure,PE,C,1
OF700,OF700,Y,D,32,3,Diseased,Diseased,0.2,7,NA,NA,NA,NA,NA,1,51-1_1/9/2022,51,1,32 _ 1 _ OF700,T_51_Exp_1_Box_1,1,1,1,T_51_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/21/22,1/14/22,Pre_Exposure,PE,C,1
OF701,OF701,Y,D,33,3,Diseased,Diseased,0.6,7,0,NA,NA,NA,NA,1,54-1_1/9/2022,54,1,33 _ 1 _ OF701,T_54_Exp_1_Box_1,1,1,1,T_54_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/21/22,1/14/22,Pre_Exposure,PE,C,1
OF76,OF76,Y,D,38,3,Diseased,Diseased,0.95,8,0,NA,NA,NA,NA,1,63-1_1/9/2022,63,1,38 _ 1 _ OF76,T_63_Exp_1_Box_1,1,1,1,T_63_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/22/22,1/14/22,Pre_Exposure,PE,C,1
OF649,OF649,Y,D,38,3,Diseased,Diseased,0.5,10,0,NA,NA,NA,NA,1,64-1_1/9/2022,64,1,38 _ 1 _ OF649,T_64_Exp_1_Box_1,1,1,1,T_64_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/24/22,1/14/22,Pre_Exposure,PE,C,1
OF759,OF759,Y,D,46,3,Diseased,Diseased,0.5,9,0,NA,NA,NA,NA,1,73-1_1/9/2022,73,1,46 _ 1 _ OF759,T_73_Exp_1_Box_1,1,1,1,T_73_Exp_1,1,0,0,0,1,Pre_Exposure,1/9/22,NA,1/23/22,1/14/22,Pre_Exposure,PE,C,1
OF554,OF554,Y,D,49,3,Diseased,Diseased,0.5,4,0,NA,NA,NA,NA,1,151-2_1/11/2022,151,2,49 _ 1 _ OF554,T_151_Exp_1_Box_2,1,1,1,T_151_Exp_1,1,0,0,0,1,Pre_Exposure,1/11/22,NA,1/18/22,1/14/22,Pre_Exposure,PE,C,1
GB4,GB4,N,D,37,4,Diseased,Diseased,0.1,1,8,NA,NA,NA,NA,4,104-2_3/28/22,104,2,37 _ 4 _ GB4,T_104_Exp_4_Box_2,1,1,0.666666667,T_104_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/1/22,4/9/22,3/31/22,Pre_Exposure,PE,C,1
M11,M11,N,D,39,3,Diseased,Diseased,0.15,1,1,NA,NA,NA,NA,4,109-2_3/28/22,109,2,39 _ 4 _ M11,T_109_Exp_4_Box_2,1,1,1,T_109_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/1/22,4/2/22,3/31/22,Pre_Exposure,PE,C,1
M13,M13,N,D,42,4,Diseased,Diseased,0.6,1,3,NA,NA,NA,NA,4,114-2_3/28/22,114,2,42 _ 4 _ M13,T_114_Exp_4_Box_2,1,1,0.666666667,T_114_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/1/22,4/4/22,3/31/22,Pre_Exposure,PE,C,1
M20,M20,N,D,44,4,Diseased,Diseased,0.9,1,5,NA,NA,NA,NA,4,119-2_3/28/22,119,2,44 _ 4 _ M20,T_119_Exp_4_Box_2,1,1,0.666666667,T_119_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/1/22,4/6/22,3/31/22,Pre_Exposure,PE,C,1
M6,M6,N,D,19,4,Diseased,Diseased,0.95,1,4,NA,initial disease,NA,NA,4,70-1_3/28/22,70,1,19 _ 4 _ M6,T_70_Exp_4_Box_1,1,1,1,T_70_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/1/22,4/5/22,3/31/22,Pre_Exposure,PE,C,1
GB25,GB25,N,D,27,3,Diseased,Diseased,0.05,1,1,NA,NA,NA,NA,4,86-2_3/28/22,86,2,27 _ 4 _ GB25,T_86_Exp_4_Box_2,1,1,1,T_86_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/1/22,4/2/22,3/31/22,Pre_Exposure,PE,C,1
M12,M12,N,D,28,4,Diseased,Diseased,0.1,1,9,NA,NA,NA,NA,4,87-2_3/28/22,87,2,28 _ 4 _ M12,T_87_Exp_4_Box_2,1,1,1,T_87_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/1/22,4/10/22,3/31/22,Pre_Exposure,PE,C,1
M34,M34,N,D,50,3,Diseased,Diseased,0.95,2,4,NA,NA,NA,NA,4,131-2_3/28/22,131,2,50 _ 4 _ M34,T_131_Exp_4_Box_2,1,1,1,T_131_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/2/22,4/6/22,3/31/22,Pre_Exposure,PE,C,1
GB13,GB13,N,D,18,3,Diseased,Diseased,0.1,2,1,NA,NA,NA,NA,4,68-1_3/28/22,68,1,18 _ 4 _ GB13,T_68_Exp_4_Box_1,1,1,0.666666667,T_68_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/2/22,4/3/22,3/31/22,Pre_Exposure,PE,C,1
M6,M6,N,D,21,3,Diseased,Diseased,0.1,2,16,NA,second initial disease sample,NA,NA,4,74-1_3/28/22,74,1,21 _ 4 _ M6,T_74_Exp_4_Box_1,1,1,1,T_74_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/2/22,4/18/22,3/31/22,Pre_Exposure,PE,C,1
M36,M36,N,D,23,3,Diseased,Diseased,0.1,2,6,NA,second initial,NA,NA,4,77-1_3/28/22,77,1,23 _ 4 _ M36,T_77_Exp_4_Box_1,1,1,1,T_77_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/2/22,4/8/22,3/31/22,Pre_Exposure,PE,C,1
M9,M9,N,D,24,3,Diseased,Diseased,0.1,2,1,NA,NA,NA,NA,4,80-1_3/28/22,80,1,24 _ 4 _ M9,T_80_Exp_4_Box_1,1,1,1,T_80_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/2/22,4/3/22,3/31/22,Pre_Exposure,PE,C,1
M12,M12,N,D,40,4,Diseased,Diseased,0.1,3,-1,NA,NA,NA,NA,4,110-2_3/28/22,110,2,40 _ 4 _ M12,T_110_Exp_4_Box_2,1,1,1,T_110_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/3/22,4/2/22,3/31/22,Pre_Exposure,PE,C,1
GB26,GB26,N,D,45,4,Diseased,Diseased,0.5,3,3,NA,initial,NA,NA,4,120-2_3/28/22,120,2,45 _ 4 _ GB26,T_120_Exp_4_Box_2,1,1,0.333333333,T_120_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/3/22,4/6/22,3/31/22,Pre_Exposure,PE,C,1
M34,M34,N,D,13,4,Diseased,Diseased,0.7,3,2,NA,NA,NA,NA,4,58-1_3/28/22,58,1,13 _ 4 _ M34,T_58_Exp_4_Box_1,1,1,1,T_58_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/3/22,4/5/22,3/31/22,Pre_Exposure,PE,C,1
M23,M23,N,D,15,4,Diseased,Diseased,0.8,3,3,NA,NA,NA,NA,4,61-1_3/28/22,61,1,15 _ 4 _ M23,T_61_Exp_4_Box_1,1,1,1,T_61_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/3/22,4/6/22,3/31/22,Pre_Exposure,PE,C,1
15-431,15_431,Y,D,25,4,Diseased,Diseased,0.6,3,1,NA,NA,NA,NA,4,81-1_3/28/22,81,1,25 _ 4 _ 15-431,T_81_Exp_4_Box_1,1,1,1,T_81_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/3/22,4/4/22,3/31/22,Pre_Exposure,PE,C,1
M16,M16,N,D,42,4,Diseased,Diseased,0.9,4,1,NA,NA,NA,NA,4,115-2_3/28/22,115,2,42 _ 4 _ M16,T_115_Exp_4_Box_2,1,1,1,T_115_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/4/22,4/5/22,3/31/22,Pre_Exposure,PE,C,1
M14,M14,N,D,44,4,Diseased,Diseased,0.8,4,2,NA,NA,NA,NA,4,118-2_3/28/22,118,2,44 _ 4 _ M14,T_118_Exp_4_Box_2,1,1,1,T_118_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/4/22,4/6/22,3/31/22,Pre_Exposure,PE,C,1
AE3,AE3,Y,D,25,4,Diseased,Diseased,0.6,4,2,NA,NA,NA,NA,4,82-1_3/28/22,82,1,25 _ 4 _ AE3,T_82_Exp_4_Box_1,1,1,1,T_82_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/4/22,4/6/22,3/31/22,Pre_Exposure,PE,C,1
GB25,GB25,N,D,17,4,Diseased,Diseased,0.5,5,1,NA,NA,NA,NA,4,66-1_3/28/22,66,1,17 _ 4 _ GB25,T_66_Exp_4_Box_1,1,1,1,T_66_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/5/22,4/6/22,3/31/22,Pre_Exposure,PE,C,1
M23,M23,N,D,45,4,Diseased,Diseased,0.5,6,3,NA,NA,NA,NA,4,121-2_3/28/22,121,2,45 _ 4 _ M23,T_121_Exp_4_Box_2,1,1,1,T_121_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/6/22,4/9/22,3/31/22,Pre_Exposure,PE,C,1
M28,M28,N,D,16,4,Diseased,Diseased,0.5,7,5,NA,initial disease,NA,NA,4,64-1_3/28/22,64,1,16 _ 4 _ M28,T_64_Exp_4_Box_1,1,1,1,T_64_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/7/22,4/12/22,3/31/22,Pre_Exposure,PE,C,1
M7,M7,N,D,23,4,Diseased,Diseased,0.3,8,1,NA,NA,NA,NA,4,78-1_3/28/22,78,1,23 _ 4 _ M7,T_78_Exp_4_Box_1,1,1,1,T_78_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/8/22,4/9/22,3/31/22,Pre_Exposure,PE,C,1
GB22,GB22,N,D,20,4,Diseased,Diseased,0.95,9,6,NA,NA,NA,NA,4,71-1_3/28/22,71,1,20 _ 4 _ GB22,T_71_Exp_4_Box_1,1,1,1,T_71_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/9/22,4/15/22,3/31/22,Pre_Exposure,PE,C,1
UK 36,UK_36,Y,D,28,4,Diseased,Diseased,0.95,12,1,NA,NA,NA,NA,4,88-2_3/28/22,88,2,28 _ 4 _ UK 36,T_88_Exp_4_Box_2,1,1,1,T_88_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,4/12/22,4/13/22,3/31/22,Pre_Exposure,PE,C,1
M24,M24,N,D,35,3,Diseased,Diseased,0.4,7,0,NA,NA,NA,NA,4,101-2_3/28/22,101,2,35 _ 4 _ M24,T_101_Exp_4_Box_2,1,1,1,T_101_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,NA,4/7/22,3/31/22,Pre_Exposure,PE,C,1
GB9,GB9,N,D,38,3,Diseased,Diseased,0.4,4,0,NA,NA,NA,NA,4,106-2_3/28/22,106,2,38 _ 4 _ GB9,T_106_Exp_4_Box_2,1,1,1,T_106_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,NA,4/4/22,3/31/22,Pre_Exposure,PE,C,1
OF654,OF654,Y,D,38,2,Diseased,Diseased,0.4,1,0,NA,NA,NA,NA,4,107-2_3/28/22,107,2,38 _ 4 _ OF654,T_107_Exp_4_Box_2,1,1,0.666666667,T_107_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,NA,4/1/22,3/31/22,Pre_Exposure,PE,C,1
S503,S503,Y,D,39,2,Diseased,Diseased,0.1,1,0,NA,NA,NA,NA,4,108-2_3/28/22,108,2,39 _ 4 _ S503,T_108_Exp_4_Box_2,1,1,1,T_108_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,NA,4/1/22,3/31/22,Pre_Exposure,PE,C,1
M15,M15,N,D,41,3,Diseased,Diseased,0.1,4,0,NA,NA,NA,NA,4,112-2_3/28/22,112,2,41 _ 4 _ M15,T_112_Exp_4_Box_2,1,1,1,T_112_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,NA,4/4/22,3/31/22,Pre_Exposure,PE,C,1
M2,M2,N,D,41,2,Diseased,Diseased,0.3,1,0,NA,NA,NA,NA,4,113-2_3/28/22,113,2,41 _ 4 _ M2,T_113_Exp_4_Box_2,1,1,1,T_113_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,NA,4/1/22,3/31/22,Pre_Exposure,PE,C,1
M19,M19,N,D,43,2,Diseased,Diseased,0.5,1,0,NA,NA,NA,NA,4,116-2_3/28/22,116,2,43 _ 4 _ M19,T_116_Exp_4_Box_2,1,1,1,T_116_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,NA,4/1/22,3/31/22,Pre_Exposure,PE,C,1
M30,M30,N,D,43,2,Diseased,Diseased,0.5,1,0,NA,NA,NA,NA,4,117-2_3/28/22,117,2,43 _ 4 _ M30,T_117_Exp_4_Box_2,1,1,1,T_117_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,NA,4/1/22,3/31/22,Pre_Exposure,PE,C,1
GB2,GB2,N,D,46,3,Diseased,Diseased,0.2,3,0,NA,NA,NA,NA,4,122-2_3/28/22,122,2,46 _ 4 _ GB2,T_122_Exp_4_Box_2,1,1,1,T_122_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,NA,4/3/22,3/31/22,Pre_Exposure,PE,C,1
M26,M26,N,D,46,3,Diseased,Diseased,0.8,5,0,NA,NA,NA,NA,4,123-2_3/28/22,123,2,46 _ 4 _ M26,T_123_Exp_4_Box_2,1,1,1,T_123_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,NA,4/5/22,3/31/22,Pre_Exposure,PE,C,1
GB19,GB19,N,D,47,2,Diseased,Diseased,0.15,1,0,NA,NA,NA,NA,4,124-2_3/28/22,124,2,47 _ 4 _ GB19,T_124_Exp_4_Box_2,1,1,1,T_124_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,NA,4/1/22,3/31/22,Pre_Exposure,PE,C,1
M29,M29,N,D,47,2,Diseased,Diseased,0.15,1,0,NA,NA,NA,NA,4,125-2_3/28/22,125,2,47 _ 4 _ M29,T_125_Exp_4_Box_2,1,1,1,T_125_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,NA,4/1/22,3/31/22,Pre_Exposure,PE,C,1
M18,M18,N,D,48,3,Diseased,Diseased,0.8,3,0,NA,NA,NA,NA,4,126-2_3/28/22,126,2,48 _ 4 _ M18,T_126_Exp_4_Box_2,1,1,1,T_126_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,NA,4/3/22,3/31/22,Pre_Exposure,PE,C,1
M3,M3,N,D,48,3,Diseased,Diseased,0.5,4,0,NA,NA,NA,NA,4,127-2_3/28/22,127,2,48 _ 4 _ M3,T_127_Exp_4_Box_2,1,1,1,T_127_Exp_4,0,0,0,1,1,Pre_Exposure,3/28/22,NA,4/4/22,3/31/22,Pre_Exposure,PE,C,1
